GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
juego-lucha,com.juego.patrones.factory,NinjaFactory,0,22,0,0,0,9,0,2,0,2
juego-lucha,com.juego.patrones.factory,GuerreroFactory,0,22,0,0,0,9,0,2,0,2
juego-lucha,com.juego.patrones.factory,MagoFactory,0,22,0,0,0,9,0,2,0,2
juego-lucha,com.juego.patrones.decorator,SuperPoderDecorator,25,67,4,6,8,21,4,5,0,3
juego-lucha,com.juego.patrones.decorator,PersonajeDecorator,0,28,0,0,0,10,0,6,0,6
juego-lucha,com.juego.patrones.decorator,EscudoDecorator,2,45,1,3,0,13,1,3,0,2
juego-lucha,com.juego.patrones.decorator,EspadaDecorator,0,40,0,2,0,12,0,3,0,2
juego-lucha,com.juego.patrones.strategy,AgresivoStrategy,0,7,0,0,0,2,0,2,0,2
juego-lucha,com.juego.patrones.strategy,DefensivoStrategy,0,7,0,0,0,2,0,2,0,2
juego-lucha,com.juego.patrones.strategy,CriticoStrategy,0,21,0,2,0,7,0,3,0,2
juego-lucha,com.juego.patrones.builder,PersonajeBuilder,0,49,0,0,0,14,0,8,0,8
juego-lucha,com.juego.juego,JuegoLucha,31,121,4,8,9,41,5,5,1,2
juego-lucha,com.juego.juego,Main,3,3,0,0,1,2,1,1,1,1
juego-lucha,com.juego.model,Personaje,9,82,0,6,3,24,3,9,3,6
